counter,time,sopr max rate,sopr aver rate,prefecber,esnrmin,esnrmax,esnraver,dgdmin,dgdmax,dgdaver,csrmin,csrmax,csraver
0,10:37:49,734.2,124.5,2.82E-04,17.49,17.57,17.52,0.1,6.4,2.6,0.00E+00,0.00E+00,0.00E+00
5,10:37:52,734.2,119.6,2.88E-04,17.49,17.54,17.51,1.2,1.2,1.2,0.00E+00,0.00E+00,0.00E+00
6,10:37:52,734.2,121.2,2.88E-04,17.51,17.52,17.51,5.3,5.3,5.3,0.00E+00,0.00E+00,0.00E+00
7,10:37:53,734.2,131.2,2.82E-04,17.51,17.54,17.53,3.4,3.4,3.4,0.00E+00,0.00E+00,0.00E+00
10,10:37:55,734.2,95.5,2.88E-04,17.52,17.52,17.52,0.1,2.1,1.1,0.00E+00,0.00E+00,0.00E+00
12,10:37:57,734.2,121.6,2.88E-04,17.52,17.52,17.52,2.5,2.5,2.5,0.00E+00,0.00E+00,0.00E+00
14,10:37:58,734.2,118.0,2.88E-04,17.51,17.53,17.52,0.2,0.2,0.2,0.00E+00,0.00E+00,0.00E+00
15,10:37:59,734.2,108.6,2.88E-04,17.51,17.51,17.51,3.2,3.2,3.2,0.00E+00,0.00E+00,0.00E+00
18,10:38:01,734.2,103.2,2.82E-04,17.51,17.54,17.53,0.3,0.3,0.3,0.00E+00,0.00E+00,0.00E+00
19,10:38:01,734.2,121.2,2.75E-04,17.54,17.55,17.54,3.9,3.9,3.9,0.00E+00,0.00E+00,0.00E+00
20,10:38:02,734.2,121.8,2.75E-04,17.55,17.55,17.55,2.5,2.5,2.5,0.00E+00,0.00E+00,0.00E+00
23,10:38:04,734.2,109.5,2.88E-04,17.53,17.55,17.53,2.9,4.5,3.7,0.00E+00,0.00E+00,0.00E+00
25,10:38:06,734.2,112.4,2.82E-04,17.53,17.54,17.53,4.6,4.6,4.6,0.00E+00,0.00E+00,0.00E+00
27,10:38:07,734.2,118.0,2.82E-04,17.54,17.54,17.54,2.3,2.3,2.3,0.00E+00,0.00E+00,0.00E+00
31,10:38:09,734.2,98.4,2.82E-04,17.53,17.54,17.53,1.2,1.2,1.2,0.00E+00,0.00E+00,0.00E+00
32,10:38:10,734.2,118.0,2.82E-04,17.54,17.54,17.54,3.2,3.2,3.2,0.00E+00,0.00E+00,0.00E+00
34,10:38:12,734.2,150.8,2.88E-04,17.52,17.54,17.52,4.4,4.4,4.4,0.00E+00,0.00E+00,0.00E+00
37,10:38:13,734.2,95.4,2.88E-04,17.49,17.52,17.50,2.1,3.2,2.6,0.00E+00,0.00E+00,0.00E+00
38,10:38:14,734.2,153.0,2.82E-04,17.51,17.53,17.52,2.7,2.7,2.7,0.00E+00,0.00E+00,0.00E+00
41,10:38:16,734.2,123.0,2.82E-04,17.53,17.54,17.53,1.5,4.2,2.8,0.00E+00,0.00E+00,0.00E+00
