counter,time,sopr max rate,sopr aver rate,prefecber,esnrmin,esnrmax,esnraver,dgdmin,dgdmax,dgdaver,csrmin,csrmax,csraver
0,9:38:26,1885.4,121.4,2.82E-04,N/A,17.64,17.53,0,8.9,2.7,0.00E+00,1.70E-03,8.57E-09
1,9:38:28,734.2,128.6,2.88E-04,17.51,17.51,17.51,2.1,2.1,2.1,0.00E+00,0.00E+00,0.00E+00
8,9:38:32,734.2,121.6,2.88E-04,17.51,17.54,17.52,4.6,4.6,4.6,0.00E+00,6.84E-09,1.85E-10
9,9:38:33,734.2,110.4,2.88E-04,17.51,17.51,17.51,2.5,2.5,2.5,0.00E+00,0.00E+00,0.00E+00
12,9:38:35,734.2,114.9,2.88E-04,17.51,17.52,17.51,2.4,2.5,2.4,0.00E+00,0.00E+00,0.00E+00
13,9:38:35,734.2,123,2.95E-04,17.5,17.52,17.5,4.6,4.6,4.6,0.00E+00,0.00E+00,0.00E+00
16,9:38:37,734.2,130.7,2.95E-04,17.5,17.51,17.5,2.2,4.7,3.4,0.00E+00,0.00E+00,0.00E+00
20,9:38:40,734.2,137.6,2.88E-04,17.51,17.53,17.52,2.5,2.5,2.5,0.00E+00,0.00E+00,0.00E+00
21,9:38:41,734.2,133,2.82E-04,17.53,17.53,17.53,2.9,2.9,2.9,0.00E+00,0.00E+00,0.00E+00
24,9:38:42,734.2,98.5,2.82E-04,17.53,17.54,17.53,1.2,3,2.1,0.00E+00,0.00E+00,0.00E+00
28,9:38:45,734.2,113.8,2.75E-04,17.54,17.55,17.54,1.1,1.1,1.1,0.00E+00,0.00E+00,0.00E+00
32,9:38:47,734.2,121.8,2.88E-04,17.51,17.54,17.52,0.6,0.6,0.6,0.00E+00,0.00E+00,0.00E+00
38,9:38:51,734.2,128.2,2.82E-04,17.52,17.55,17.54,3.4,3.4,3.4,0.00E+00,0.00E+00,0.00E+00
40,9:38:52,734.2,127.6,2.88E-04,17.52,17.52,17.52,1.9,1.9,1.9,0.00E+00,0.00E+00,0.00E+00
42,9:38:54,734.2,140.4,2.82E-04,17.52,17.55,17.53,1.3,1.3,1.3,0.00E+00,0.00E+00,0.00E+00
44,9:38:55,247,247,2.88E-04,17.51,17.55,17.54,2.2,4.6,3.4,0.00E+00,0.00E+00,0.00E+00
48,9:38:58,734.2,101.6,2.82E-04,17.51,17.53,17.52,0.9,0.9,0.9,0.00E+00,0.00E+00,0.00E+00
49,9:38:58,734.2,124.8,2.88E-04,17.51,17.53,17.51,2.9,2.9,2.9,0.00E+00,0.00E+00,0.00E+00
