counter,time,sopr max rate,sopr aver rate,prefecber,esnrmin,esnrmax,esnraver,dgdmin,dgdmax,dgdaver,csrmin,csrmax,csraver
0,19:43:10,715.6,114.5,4.37E-04,17.17,17.27,17.21,0,5.2,2.1,0.00E+00,1.39E-08,2.75E-11
1,19:43:11,715.6,103.8,4.17E-04,17.25,17.25,17.25,0.2,0.2,0.2,0.00E+00,0.00E+00,0.00E+00
4,19:43:13,715.6,121.3,4.17E-04,17.24,17.26,17.24,1.9,3.9,2.9,0.00E+00,0.00E+00,0.00E+00
5,19:43:14,715.6,102.6,4.27E-04,17.23,17.24,17.23,3.5,3.5,3.5,0.00E+00,0.00E+00,0.00E+00
8,19:43:16,715.6,124.4,4.27E-04,17.23,17.23,17.23,0.8,3.2,2,0.00E+00,0.00E+00,0.00E+00
12,19:43:18,715.6,109,4.07E-04,17.23,17.27,17.24,0.5,0.5,0.5,0.00E+00,0.00E+00,0.00E+00
13,19:43:19,715.6,91.4,4.07E-04,17.25,17.27,17.26,1.1,1.1,1.1,0.00E+00,0.00E+00,0.00E+00
14,19:43:20,715.6,109.6,4.17E-04,17.24,17.25,17.24,1,1,1,0.00E+00,0.00E+00,0.00E+00
15,19:43:21,715.6,65.2,4.17E-04,17.25,17.25,17.25,1.5,1.5,1.5,0.00E+00,0.00E+00,0.00E+00
21,19:43:25,715.6,112.6,4.37E-04,17.22,17.26,17.24,3.3,3.3,3.3,0.00E+00,0.00E+00,0.00E+00
23,19:43:26,715.6,127.8,4.17E-04,17.23,17.24,17.23,5,5,5,0.00E+00,0.00E+00,0.00E+00
24,19:43:27,715.6,112.8,4.17E-04,17.24,17.24,17.24,4.3,4.3,4.3,0.00E+00,0.00E+00,0.00E+00
26,19:43:28,715.6,122.4,4.27E-04,17.24,17.24,17.24,4.6,4.6,4.6,0.00E+00,0.00E+00,0.00E+00
27,19:43:29,715.6,100.6,4.27E-04,17.23,17.24,17.23,4.9,4.9,4.9,0.00E+00,0.00E+00,0.00E+00
30,19:43:31,715.6,108.4,4.17E-04,17.23,17.26,17.23,1.7,1.7,1.7,0.00E+00,0.00E+00,0.00E+00
31,19:43:32,715.6,107.4,4.17E-04,17.25,17.26,17.25,2.6,2.6,2.6,0.00E+00,0.00E+00,0.00E+00
34,19:43:34,715.6,129.1,4.27E-04,17.22,17.25,17.23,1.2,2.5,1.8,0.00E+00,0.00E+00,0.00E+00
38,19:43:36,715.6,115.6,4.27E-04,17.21,17.22,17.21,3.7,3.7,3.7,0.00E+00,0.00E+00,0.00E+00
39,19:43:37,715.6,107.6,4.37E-04,17.21,17.22,17.21,1.5,1.5,1.5,0.00E+00,0.00E+00,0.00E+00
41,19:43:39,715.6,136.6,4.27E-04,17.21,17.22,17.21,0.3,1.9,1.1,0.00E+00,0.00E+00,0.00E+00
42,19:43:40,715.6,92.6,4.37E-04,17.21,17.22,17.21,2.2,2.2,2.2,0.00E+00,7.05E-09,7.05E-10
45,19:43:42,715.6,116.2,4.37E-04,17.21,17.22,17.21,3.7,3.7,3.7,0.00E+00,0.00E+00,0.00E+00
51,19:43:45,715.6,112,4.27E-04,17.21,17.23,17.21,1.9,1.9,1.9,0.00E+00,0.00E+00,0.00E+00
52,19:43:46,715.6,143.8,4.27E-04,17.23,17.24,17.23,0.6,0.6,0.6,0.00E+00,0.00E+00,0.00E+00
55,19:43:48,99,99,4.37E-04,17.22,17.22,17.22,1.9,2.5,2.2,0.00E+00,0.00E+00,0.00E+00
56,19:43:49,715.6,117.6,4.27E-04,17.22,17.24,17.22,3.8,3.8,3.8,0.00E+00,0.00E+00,0.00E+00
59,19:43:51,715.6,121.2,4.37E-04,17.2,17.24,17.21,1.9,3.3,2.6,0.00E+00,0.00E+00,0.00E+00
63,19:43:53,715.6,116,4.47E-04,17.2,17.22,17.21,2.7,2.7,2.7,0.00E+00,0.00E+00,0.00E+00
64,19:43:54,715.6,117.8,4.37E-04,17.2,17.22,17.2,4.2,4.2,4.2,0.00E+00,0.00E+00,0.00E+00
66,19:43:55,715.6,129,4.27E-04,17.2,17.22,17.2,0.3,0.3,0.3,0.00E+00,7.01E-09,4.67E-10
67,19:43:56,715.6,90.6,4.27E-04,17.23,17.23,17.23,2.8,2.8,2.8,0.00E+00,0.00E+00,0.00E+00
70,19:43:58,715.6,101,4.37E-04,17.21,17.23,17.21,5.2,5.2,5.2,0.00E+00,0.00E+00,0.00E+00
71,19:43:59,715.6,122.6,4.37E-04,17.21,17.22,17.21,2.9,2.9,2.9,0.00E+00,0.00E+00,0.00E+00
74,19:44:01,715.6,106.4,4.37E-04,17.21,17.22,17.21,0.6,2,1.3,0.00E+00,0.00E+00,0.00E+00
76,19:44:02,715.6,103.8,4.47E-04,17.19,17.21,17.2,1.8,1.8,1.8,0.00E+00,0.00E+00,0.00E+00
78,19:44:03,715.6,130.2,4.47E-04,17.19,17.19,17.19,0.7,0.7,0.7,0.00E+00,0.00E+00,0.00E+00
79,19:44:04,715.6,99.4,4.47E-04,17.19,17.21,17.2,2.6,2.6,2.6,0.00E+00,0.00E+00,0.00E+00
82,19:44:06,715.6,123.4,4.37E-04,17.21,17.23,17.22,0.1,0.1,0.1,0.00E+00,0.00E+00,0.00E+00
