counter,time,sopr max rate,sopr aver rate,prefecber,esnrmin,esnrmax,esnraver,dgdmin,dgdmax,dgdaver,csrmin,csrmax,csraver
0,19:14:02,644.2,120.3,3.63E-04,17.31,17.37,17.34,0.0,5.9,2.7,0.00E+00,1.43E-08,1.65E-11
3,19:14:03,644.2,112.5,3.63E-04,17.36,17.37,17.36,2.7,4.9,3.8,0.00E+00,0.00E+00,0.00E+00
4,19:14:04,644.2,121.6,3.63E-04,17.35,17.36,17.35,4.7,4.7,4.7,0.00E+00,0.00E+00,0.00E+00
6,19:14:06,644.2,118.0,3.63E-04,17.35,17.35,17.35,2.6,2.6,2.6,0.00E+00,0.00E+00,0.00E+00
7,19:14:06,644.2,129.6,3.63E-04,17.35,17.35,17.35,1.9,1.9,1.9,0.00E+00,0.00E+00,0.00E+00
10,19:14:08,644.2,128.8,3.63E-04,17.35,17.36,17.35,1.9,1.9,1.9,0.00E+00,0.00E+00,0.00E+00
11,19:14:09,644.2,146.2,3.72E-04,17.34,17.35,17.34,2.5,2.5,2.5,0.00E+00,0.00E+00,0.00E+00
14,19:14:11,644.2,107.8,3.63E-04,17.34,17.36,17.35,1.8,2.4,2.1,0.00E+00,0.00E+00,0.00E+00
18,19:14:14,644.2,118.8,3.72E-04,17.34,17.36,17.34,0.7,0.7,0.7,0.00E+00,0.00E+00,0.00E+00
19,19:14:14,644.2,133.8,3.63E-04,17.36,17.36,17.36,3.4,3.4,3.4,0.00E+00,0.00E+00,0.00E+00
22,19:14:16,644.2,124.9,3.63E-04,17.35,17.36,17.35,1.5,3.9,2.7,0.00E+00,0.00E+00,0.00E+00
24,19:14:18,644.2,107.0,3.63E-04,17.35,17.36,17.35,1.0,1.0,1.0,0.00E+00,0.00E+00,0.00E+00
26,19:14:19,644.2,110.0,3.63E-04,17.34,17.35,17.34,0.2,3.5,1.8,0.00E+00,0.00E+00,0.00E+00
30,19:14:22,644.2,107.2,3.80E-04,17.32,17.35,17.33,2.2,2.2,2.2,0.00E+00,0.00E+00,0.00E+00
31,19:14:22,644.2,135.2,3.63E-04,17.32,17.35,17.34,4.2,4.2,4.2,0.00E+00,0.00E+00,0.00E+00
34,19:14:24,644.2,109.7,3.63E-04,17.34,17.35,17.34,3.5,3.5,3.5,0.00E+00,0.00E+00,0.00E+00
37,19:14:27,644.2,152.8,3.72E-04,17.34,17.36,17.35,4.2,4.2,4.2,0.00E+00,0.00E+00,0.00E+00
43,19:14:31,644.2,108.0,3.63E-04,17.34,17.36,17.34,2.2,2.2,2.2,0.00E+00,0.00E+00,0.00E+00
44,19:14:31,644.2,111.4,3.72E-04,17.33,17.35,17.33,1.9,1.9,1.9,0.00E+00,0.00E+00,0.00E+00
46,19:14:33,139.0,139.0,3.72E-04,17.33,17.33,17.33,0.5,0.5,0.5,0.00E+00,0.00E+00,0.00E+00
47,19:14:34,644.2,142.0,3.72E-04,17.33,17.33,17.33,2.4,2.4,2.4,0.00E+00,0.00E+00,0.00E+00
50,19:14:35,644.2,119.4,3.63E-04,17.33,17.36,17.35,2.2,2.2,2.2,0.00E+00,0.00E+00,0.00E+00
51,19:14:36,644.2,105.8,3.63E-04,17.36,17.36,17.36,1.2,1.2,1.2,0.00E+00,0.00E+00,0.00E+00
54,19:14:38,644.2,135.5,3.55E-04,17.34,17.37,17.36,3.2,4.6,3.9,0.00E+00,0.00E+00,0.00E+00
58,19:14:41,644.2,108.8,3.63E-04,17.36,17.37,17.36,2.4,2.4,2.4,0.00E+00,0.00E+00,0.00E+00
59,19:14:41,644.2,137.6,3.63E-04,17.35,17.35,17.35,2.9,2.9,2.9,0.00E+00,0.00E+00,0.00E+00
61,19:14:43,644.2,112.8,3.63E-04,17.35,17.35,17.35,2.2,2.2,2.2,0.00E+00,0.00E+00,0.00E+00
62,19:14:44,644.2,101.4,3.63E-04,17.35,17.35,17.35,3.0,3.0,3.0,0.00E+00,0.00E+00,0.00E+00
63,19:14:45,644.2,111.4,3.55E-04,17.35,17.37,17.36,7.1,7.1,7.1,0.00E+00,0.00E+00,0.00E+00
70,19:14:49,644.2,122.8,3.55E-04,17.34,17.37,17.35,2.5,2.5,2.5,0.00E+00,0.00E+00,0.00E+00
71,19:14:49,644.2,118.0,3.63E-04,17.36,17.37,17.36,2.2,2.2,2.2,0.00E+00,0.00E+00,0.00E+00
72,19:14:50,644.2,111.6,3.63E-04,17.35,17.36,17.35,0.6,0.6,0.6,0.00E+00,0.00E+00,0.00E+00
75,19:14:52,644.2,125.5,3.55E-04,17.33,17.36,17.35,2.6,3.1,2.8,0.00E+00,0.00E+00,0.00E+00
79,19:14:55,139.4,139.4,3.55E-04,17.37,17.37,17.37,0.0,0.0,0.0,0.00E+00,0.00E+00,0.00E+00
80,19:14:55,644.2,125.6,3.55E-04,17.37,17.37,17.37,3.3,3.3,3.3,0.00E+00,0.00E+00,0.00E+00
83,19:14:57,644.2,121.7,3.55E-04,17.37,17.37,17.37,1.5,4.5,3.0,0.00E+00,0.00E+00,0.00E+00
85,19:14:59,644.2,113.8,3.55E-04,17.37,17.37,17.37,0.7,0.7,0.7,0.00E+00,0.00E+00,0.00E+00
87,19:15:00,644.2,137.6,3.55E-04,17.36,17.37,17.36,3.8,3.8,3.8,0.00E+00,0.00E+00,0.00E+00
88,19:15:01,644.2,148.4,3.55E-04,17.36,17.36,17.36,0.3,0.3,0.3,0.00E+00,0.00E+00,0.00E+00
90,19:15:02,644.2,121.2,3.55E-04,17.36,17.37,17.36,3.5,3.5,3.5,0.00E+00,0.00E+00,0.00E+00
92,19:15:04,644.2,131.4,3.47E-04,17.37,17.38,17.37,4.4,4.4,4.4,0.00E+00,0.00E+00,0.00E+00
94,19:15:05,644.2,104.8,3.47E-04,17.37,17.38,17.37,1.2,1.2,1.2,0.00E+00,0.00E+00,0.00E+00
95,19:15:06,644.2,111.6,3.47E-04,17.38,17.38,17.38,1.4,1.4,1.4,0.00E+00,0.00E+00,0.00E+00
98,19:15:08,644.2,105.4,3.55E-04,17.37,17.39,17.38,2.7,2.7,2.7,0.00E+00,0.00E+00,0.00E+00
99,19:15:08,644.2,96.8,3.55E-04,17.37,17.37,17.37,4.6,4.6,4.6,0.00E+00,0.00E+00,0.00E+00
102,19:15:10,644.2,118.5,3.55E-04,17.36,17.37,17.36,2.2,4.2,3.2,0.00E+00,0.00E+00,0.00E+00
105,19:15:12,644.2,124.4,3.55E-04,17.36,17.37,17.36,2.1,2.1,2.1,0.00E+00,0.00E+00,0.00E+00
107,19:15:14,644.2,133.8,3.63E-04,17.35,17.35,17.35,3.1,3.1,3.1,0.00E+00,0.00E+00,0.00E+00
109,19:15:15,644.2,106.6,3.55E-04,17.34,17.36,17.34,2.1,2.1,2.1,0.00E+00,0.00E+00,0.00E+00
111,19:15:16,644.2,133.4,3.63E-04,17.35,17.36,17.35,4.4,4.4,4.4,0.00E+00,0.00E+00,0.00E+00
113,19:15:18,644.2,127.6,3.63E-04,17.35,17.36,17.35,1.7,1.7,1.7,0.00E+00,0.00E+00,0.00E+00
114,19:15:19,644.2,81.8,3.63E-04,17.36,17.36,17.36,2.9,2.9,2.9,0.00E+00,0.00E+00,0.00E+00
117,19:15:21,644.2,100.0,3.55E-04,17.35,17.37,17.35,3.2,3.2,3.2,0.00E+00,0.00E+00,0.00E+00
118,19:15:21,644.2,128.4,3.55E-04,17.37,17.37,17.37,2.5,2.5,2.5,0.00E+00,0.00E+00,0.00E+00
121,19:15:23,644.2,113.7,3.63E-04,17.35,17.37,17.35,3.2,3.2,1.6,0.00E+00,0.00E+00,0.00E+00
123,19:15:25,644.2,133.0,3.47E-04,17.35,17.38,17.37,5.4,5.4,5.4,0.00E+00,0.00E+00,0.00E+00
125,19:15:29,644.2,96.5,3.55E-04,17.36,17.38,17.37,0.5,2.9,1.7,0.00E+00,0.00E+00,0.00E+00
127,19:15:31,644.2,118.2,3.55E-04,17.37,17.37,17.37,2.9,2.9,2.9,0.00E+00,0.00E+00,0.00E+00
129,19:15:32,644.2,113.0,3.55E-04,17.36,17.38,17.37,3.5,3.5,3.5,0.00E+00,0.00E+00,0.00E+00
131,19:15:33,644.2,103.8,3.63E-04,17.35,17.36,17.35,2.8,2.8,2.8,0.00E+00,0.00E+00,0.00E+00
133,19:15:35,644.2,109.0,3.47E-04,17.35,17.38,17.36,1.5,1.5,1.5,0.00E+00,0.00E+00,0.00E+00
134,19:15:35,644.2,141.6,3.47E-04,17.38,17.38,17.38,2.2,2.2,2.2,0.00E+00,0.00E+00,0.00E+00
137,19:15:37,128.8,128.8,3.63E-04,17.35,17.38,17.35,3.2,3.2,3.2,0.00E+00,0.00E+00,0.00E+00
138,19:15:38,644.2,120.6,3.63E-04,17.35,17.36,17.35,4.0,4.0,4.0,0.00E+00,0.00E+00,0.00E+00
141,19:15:40,644.2,112.0,3.55E-04,17.36,17.36,17.36,2.0,2.0,2.0,0.00E+00,0.00E+00,0.00E+00
145,19:15:43,644.2,119.6,3.72E-04,17.32,17.36,17.33,2.8,2.8,2.8,0.00E+00,0.00E+00,0.00E+00
146,19:15:43,644.2,132.2,3.55E-04,17.36,17.36,17.36,1.4,1.4,1.4,0.00E+00,0.00E+00,0.00E+00
149,19:15:45,150.2,133.1,3.63E-04,17.36,17.36,17.36,3.0,4.0,3.5,0.00E+00,0.00E+00,0.00E+00
156,19:15:49,78.6,78.6,3.55E-04,17.37,17.37,17.37,2.1,2.1,2.1,0.00E+00,0.00E+00,0.00E+00
157,19:15:50,644.2,102.2,3.63E-04,17.36,17.37,17.36,3.1,3.1,3.1,0.00E+00,0.00E+00,0.00E+00
159,19:15:52,644.2,111.4,3.63E-04,17.35,17.36,17.35,5.2,5.2,5.2,0.00E+00,0.00E+00,0.00E+00
160,19:15:53,644.2,110.4,3.63E-04,17.35,17.35,17.35,0.5,0.5,0.5,0.00E+00,0.00E+00,0.00E+00
162,19:15:54,644.2,125.4,3.63E-04,17.35,17.37,17.36,3.2,3.2,3.2,0.00E+00,0.00E+00,0.00E+00
166,19:15:56,644.2,125.0,3.63E-04,17.34,17.35,17.34,4.7,4.7,4.7,0.00E+00,0.00E+00,0.00E+00
167,19:15:57,644.2,99.8,3.63E-04,17.35,17.35,17.35,6.2,6.2,6.2,0.00E+00,0.00E+00,0.00E+00
170,19:15:59,644.2,120.8,3.55E-04,17.35,17.37,17.36,1.5,2.4,1.9,0.00E+00,0.00E+00,0.00E+00
172,19:16:01,644.2,99.2,3.63E-04,17.35,17.36,17.35,1.9,1.9,1.9,0.00E+00,0.00E+00,0.00E+00
174,19:16:02,644.2,136.4,3.55E-04,17.35,17.37,17.35,3.4,3.4,3.4,0.00E+00,0.00E+00,0.00E+00
175,19:16:03,644.2,79.8,3.55E-04,17.37,17.37,17.37,1.9,1.9,1.9,0.00E+00,0.00E+00,0.00E+00
178,19:16:05,644.2,141.4,3.72E-04,17.34,17.37,17.35,6.4,6.4,6.4,0.00E+00,0.00E+00,0.00E+00
179,19:16:05,644.2,97.4,3.63E-04,17.34,17.35,17.34,1.5,1.5,1.5,0.00E+00,0.00E+00,0.00E+00
180,19:16:06,644.2,120.0,3.55E-04,17.35,17.37,17.36,1.5,1.5,1.5,0.00E+00,0.00E+00,0.00E+00
183,19:16:08,99.4,92.7,3.55E-04,17.36,17.37,17.36,3.7,3.9,3.8,0.00E+00,0.00E+00,0.00E+00
185,19:16:10,644.2,120.4,3.63E-04,17.35,17.36,17.35,0.0,0.0,0.0,0.00E+00,0.00E+00,0.00E+00
187,19:16:11,644.2,103.8,3.55E-04,17.35,17.37,17.35,1.0,1.0,1.0,0.00E+00,1.41E-08,1.01E-09
