counter,time,sopr max rate,sopr aver rate,prefecber,esnrmin,esnrmax,esnraver,dgdmin,dgdmax,dgdaver,csrmin,csrmax,csraver
0,19:27:37,715.6,115.9,4.27E-04,17.2,17.26,17.23,0,5.6,1.9,0.00E+00,7.09E-09,7.46E-12
1,19:27:39,715.6,127.4,4.27E-04,17.23,17.25,17.24,2.2,2.2,2.2,0.00E+00,0.00E+00,0.00E+00
3,19:27:40,715.6,111.4,4.27E-04,17.23,17.24,17.23,4.1,4.1,4.1,0.00E+00,0.00E+00,0.00E+00
12,19:27:45,715.6,131.8,4.27E-04,17.21,17.24,17.22,4.3,4.3,4.3,0.00E+00,0.00E+00,0.00E+00
13,19:27:46,715.6,117,4.07E-04,17.24,17.26,17.24,0.3,0.3,0.3,0.00E+00,0.00E+00,0.00E+00
14,19:27:47,715.6,98.6,4.17E-04,17.25,17.26,17.25,3,3,3,0.00E+00,0.00E+00,0.00E+00
16,19:27:48,715.6,85.8,4.27E-04,17.23,17.25,17.24,0.9,0.9,0.9,0.00E+00,0.00E+00,0.00E+00
17,19:27:49,715.6,131,4.37E-04,17.22,17.23,17.22,1.8,1.8,1.8,0.00E+00,0.00E+00,0.00E+00
19,19:27:50,715.6,99.2,4.17E-04,17.22,17.24,17.23,0.5,0.5,0.5,0.00E+00,0.00E+00,0.00E+00
23,19:27:53,715.6,101.4,4.27E-04,17.23,17.24,17.23,1.4,1.4,1.4,0.00E+00,0.00E+00,0.00E+00
24,19:27:54,715.6,89.4,4.07E-04,17.24,17.26,17.24,2.4,2.4,2.4,0.00E+00,0.00E+00,0.00E+00
27,19:27:55,715.6,95,4.17E-04,17.24,17.26,17.24,1.5,3.8,2.6,0.00E+00,0.00E+00,0.00E+00
31,19:27:58,715.6,103.4,4.37E-04,17.21,17.24,17.22,2.5,2.5,2.5,0.00E+00,6.98E-09,3.49E-10
32,19:27:59,715.6,115.8,4.37E-04,17.22,17.22,17.22,1.3,1.3,1.3,0.00E+00,0.00E+00,0.00E+00
35,19:28:01,715.6,102,4.27E-04,17.22,17.24,17.23,1.2,1.4,1.3,0.00E+00,0.00E+00,0.00E+00
39,19:28:03,715.6,110.2,4.27E-04,17.24,17.24,17.24,2.6,2.6,2.6,0.00E+00,0.00E+00,0.00E+00
40,19:28:04,715.6,122,4.27E-04,17.23,17.24,17.23,3,3,3,0.00E+00,0.00E+00,0.00E+00
43,19:28:06,715.6,157.4,4.27E-04,17.23,17.24,17.23,2.5,3.8,3.1,0.00E+00,0.00E+00,0.00E+00
44,19:28:07,715.6,107.4,4.17E-04,17.23,17.24,17.23,0.8,0.8,0.8,0.00E+00,0.00E+00,0.00E+00
46,19:28:08,715.6,137.2,4.27E-04,17.22,17.23,17.22,0.3,0.3,0.3,0.00E+00,0.00E+00,0.00E+00
47,19:28:09,715.6,131,4.27E-04,17.22,17.24,17.23,3.7,3.7,3.7,0.00E+00,0.00E+00,0.00E+00
48,19:28:10,715.6,123.2,4.27E-04,17.23,17.24,17.23,0.4,0.4,0.4,0.00E+00,0.00E+00,0.00E+00
49,19:28:11,715.6,103.4,4.37E-04,17.21,17.23,17.22,3.5,3.5,3.5,0.00E+00,0.00E+00,0.00E+00
51,19:28:12,715.6,104.2,4.27E-04,17.21,17.22,17.21,4.3,4.3,4.3,0.00E+00,0.00E+00,0.00E+00
53,19:28:13,715.6,103.6,4.17E-04,17.22,17.23,17.22,2.1,2.1,2.1,0.00E+00,0.00E+00,0.00E+00
58,19:28:16,715.6,100.8,4.27E-04,17.22,17.23,17.22,0.1,1.5,0.8,0.00E+00,7.07E-09,1.68E-10
62,19:28:19,715.6,129,4.27E-04,17.21,17.25,17.23,0.2,0.2,0.2,0.00E+00,0.00E+00,0.00E+00
63,19:28:20,715.6,133.2,4.17E-04,17.24,17.25,17.24,2.9,2.9,2.9,0.00E+00,0.00E+00,0.00E+00
64,19:28:21,715.6,105.4,4.27E-04,17.23,17.24,17.23,2.6,2.6,2.6,0.00E+00,0.00E+00,0.00E+00
65,19:28:22,715.6,154,4.27E-04,17.23,17.24,17.23,1.1,1.1,1.1,0.00E+00,0.00E+00,0.00E+00
72,19:28:26,97.8,97.8,4.17E-04,17.24,17.24,17.24,0.5,0.5,0.5,0.00E+00,0.00E+00,0.00E+00
73,19:28:27,715.6,93.6,4.27E-04,17.23,17.24,17.23,2.3,2.3,2.3,0.00E+00,0.00E+00,0.00E+00
76,19:28:29,715.6,114.4,4.17E-04,17.23,17.25,17.23,1,1,1,0.00E+00,0.00E+00,0.00E+00
77,19:28:30,715.6,119.8,4.17E-04,17.23,17.24,17.23,1.2,1.2,1.2,0.00E+00,0.00E+00,0.00E+00
80,19:28:32,715.6,118.5,4.27E-04,17.22,17.24,17.22,0.2,2.2,1.2,0.00E+00,0.00E+00,0.00E+00
