counter,time,sopr max rate,sopr aver rate,prefecber,esnrmin,esnrmax,esnraver
0,19:14:03,715.6,110.1,4.37E-04,17.16,17.25,17.21
3,19:14:05,715.6,109.4,4.57E-04,17.18,17.19,17.18
7,19:14:07,715.6,131.4,4.57E-04,17.17,17.18,17.17
8,19:14:08,715.6,108.6,4.57E-04,17.17,17.19,17.17
11,19:14:10,715.6,101.6,4.47E-04,17.19,17.2,17.19
12,19:14:11,715.6,112.6,4.47E-04,17.19,17.2,17.19
14,19:14:12,715.6,111,4.37E-04,17.19,17.2,17.19
16,19:14:13,715.6,102,4.27E-04,17.19,17.22,17.2
18,19:14:15,101.2,101.2,4.17E-04,17.24,17.25,17.24
20,19:14:16,715.6,105,4.27E-04,17.23,17.25,17.24
21,19:14:17,715.6,133,4.27E-04,17.23,17.23,17.23
24,19:14:19,88.8,88.8,4.17E-04,17.25,17.25,17.25
25,19:14:20,715.6,131.4,4.17E-04,17.23,17.25,17.24
26,19:14:21,715.6,120.6,4.17E-04,17.23,17.24,17.23
27,19:14:22,715.6,79.2,4.17E-04,17.25,17.25,17.25
33,19:14:26,715.6,90.9,4.37E-04,17.21,17.25,17.22
35,19:14:27,715.6,123.4,4.27E-04,17.22,17.24,17.22
36,19:14:28,63.8,63.8,4.17E-04,17.24,17.24,17.24
37,19:14:29,715.6,93.8,4.27E-04,17.22,17.24,17.23
40,19:14:31,715.6,119.4,4.27E-04,17.22,17.23,17.22
42,19:14:32,715.6,128.4,4.27E-04,17.23,17.23,17.23
44,19:14:33,715.6,117.4,4.27E-04,17.23,17.25,17.24
48,19:14:36,715.6,105,4.47E-04,17.2,17.23,17.21
49,19:14:37,715.6,97.4,4.37E-04,17.2,17.22,17.2
50,19:14:38,715.6,123.6,4.47E-04,17.21,17.22,17.21
52,19:14:40,213,213,4.37E-04,17.2,17.22,17.2
61,19:14:45,715.6,120.8,4.37E-04,17.21,17.24,17.22
62,19:14:46,715.6,114.4,4.27E-04,17.22,17.22,17.22
65,19:14:48,715.6,137.6,4.37E-04,17.21,17.22,17.21
67,19:14:49,59.4,59.4,4.47E-04,17.2,17.21,17.2
69,19:14:50,715.6,111,4.37E-04,17.2,17.21,17.2
