counter,time,sopr max rate,sopr aver rate,prefecber,esnrmin,esnrmax,esnraver
0,18:32:13,715.6,118.5,3.98E-04,17.2,17.33,17.27
1,18:32:14,715.6,122.8,4.17E-04,17.24,17.26,17.24
2,18:32:15,715.6,126.2,4.07E-04,17.26,17.26,17.26
5,18:32:17,715.6,177,4.07E-04,17.25,17.26,17.25
7,18:32:18,715.6,104.8,4.27E-04,17.23,17.25,17.24
14,18:32:23,715.6,110.2,4.17E-04,17.22,17.25,17.23
15,18:32:24,90.4,90.4,4.17E-04,17.26,17.26,17.26
16,18:32:25,143,143,4.17E-04,17.25,17.25,17.25
20,18:32:27,715.6,109.4,4.07E-04,17.25,17.27,17.26
21,18:32:28,132.8,132.8,4.17E-04,17.26,17.26,17.26
23,18:32:29,715.6,121,4.07E-04,17.26,17.28,17.26
24,18:32:30,715.6,138.8,4.07E-04,17.26,17.28,17.27
25,18:32:31,57.2,57.2,4.17E-04,17.25,17.25,17.25
26,18:32:32,715.6,115.4,4.17E-04,17.23,17.25,17.24
27,18:32:33,129,129,4.17E-04,17.27,17.27,17.27
30,18:32:34,715.6,130.2,4.17E-04,17.24,17.27,17.25
32,18:32:36,715.6,122.6,4.27E-04,17.23,17.24,17.23
33,18:32:37,715.6,114,4.17E-04,17.23,17.24,17.23
34,18:32:38,715.6,128.6,4.17E-04,17.24,17.24,17.24
35,18:32:39,213,213,4.17E-04,17.27,17.27,17.27
36,18:32:40,152.2,152.2,4.07E-04,17.26,17.26,17.26
42,18:32:43,715.6,109.8,4.07E-04,17.26,17.28,17.26
43,18:32:44,98,98,4.07E-04,17.27,17.27,17.27
44,18:32:45,110.4,110.4,4.07E-04,17.27,17.27,17.27
45,18:32:46,715.6,102.4,4.07E-04,17.24,17.27,17.26
48,18:32:48,715.6,110.6,4.17E-04,17.25,17.26,17.25
50,18:32:49,102,102,4.07E-04,17.27,17.27,17.27
51,18:32:50,715.6,129.4,4.07E-04,17.27,17.27,17.27
53,18:32:51,715.6,98.4,4.07E-04,17.26,17.27,17.26
54,18:32:52,150.6,150.6,4.07E-04,17.26,17.26,17.26
55,18:32:53,715.6,101.6,4.07E-04,17.26,17.26,17.26
56,18:32:54,715.6,126.8,4.17E-04,17.25,17.26,17.25
58,18:32:55,715.6,105,4.17E-04,17.25,17.25,17.25
60,18:32:56,715.6,112.4,3.98E-04,17.25,17.27,17.26
62,18:32:58,715.6,111.4,4.17E-04,17.24,17.26,17.25
63,18:32:59,107.8,107.8,4.17E-04,17.24,17.24,17.24
66,18:33:00,715.6,129.4,4.37E-04,17.22,17.24,17.23
68,18:33:02,715.6,110.8,4.27E-04,17.22,17.26,17.22
69,18:33:03,715.6,132.4,4.07E-04,17.25,17.26,17.25
71,18:33:04,193,193,4.17E-04,17.23,17.23,17.23
73,18:33:05,715.6,96.4,4.07E-04,17.23,17.26,17.24
75,18:33:07,715.6,160.8,4.17E-04,17.23,17.26,17.25
76,18:33:08,102.8,102.8,4.27E-04,17.22,17.22,17.22
79,18:33:09,715.6,98.6,4.27E-04,17.22,17.23,17.22
81,18:33:11,715.6,157.2,4.17E-04,17.24,17.26,17.24
82,18:33:12,60.4,60.4,4.17E-04,17.23,17.23,17.23
84,18:33:13,715.6,113.4,4.37E-04,17.21,17.23,17.22
86,18:33:14,715.6,136,4.17E-04,17.21,17.23,17.22
88,18:33:16,148.6,148.6,4.17E-04,17.25,17.25,17.25
90,18:33:18,715.6,111.7,4.17E-04,17.23,17.25,17.23
91,18:33:19,84.2,84.2,4.17E-04,17.24,17.24,17.24
92,18:33:20,89.2,89.2,4.17E-04,17.25,17.25,17.25
94,18:33:21,715.6,104,4.07E-04,17.25,17.26,17.25
101,18:33:25,715.6,112.2,4.17E-04,17.24,17.26,17.24
102,18:33:26,43.2,43.2,4.17E-04,17.23,17.23,17.23
